LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_
Parkville,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.79336484,30-Jun-24,"The Royal Children's Hospital Melbourne, 50 Flemington Road, PARKVILLE VIC 3052",1 x Type 2,144.9497068,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Zoo",YES,,,1
Fitzroy,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.79336484,2/11/2022,"St Vincent's Hospital Melbourne, 41 Victoria Parade, FITZROY VIC 3065",1 x Type 2,144.9497068,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Museum",YES,,,1
Fitzroy North,Port Phillip,Yarra City Council,-37.783447,Dec-24,"Piedimonte's Supermarket - 37/49A Best St, Fitzroy North VIC 3068",4 x CCS2,144.98337,2 x 75kW Charger,"Park, Playground, Public Toilets, Shopping, Dining",YES,,,2
Parkville,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.78330363,Dec-24,"Melbourne Zoo, Elliott Avenue, PARKVILLE VIC 3052",1 x Type 2,144.9513327,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining",YES,,,1
Yarra Junction,Port Phillip,Evie Networks,-37.780951,31-Oct-23,"Yarra Junction Reserve East, 1 Park Road, YARRA JUNCTION, VIC 3797
","1 x CCS2, 1 x CHAdeMO
",145.613107,50 kW,"Walking Trail, Shopping, Cafes, Restaurants, Accommodation, Public Toilets, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/554207,1
Rosanna,Port Phillip,Banyule City Council,-37.742522,19-May-23,"Bellevue Parade Car Park, Rosanna, VIC, 3084","1 x CCS2, 1 x CHAdeMO",145.064388,22 kW,"Park, Playground, Cafes, Dining",NO,Banyule City Council,https://www.plugshare.com/location/488465,1
Hamilton,Barwon South West,Evie Networks,-37.742503,May-24,"Hamilton & Grampians Visitor Information Centre, 86 Hamilton Place HAMILTON VIC 3300","1 x CCS2, 1 x CHAdeMO",142.020573,1 x 50kW Fast Charger,"Park, Playground, Shopping, Dining, Visitor Information Centre, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/517591,1
Airport West,Port Phillip,,-37.71423527,,"29-35 Louis St, AIRPORT WEST VIC 3042",6 x CHAdeMO and 2 x CCS2/SAE,144.8860233,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/195205,4
Bruthen,Gippsland,Evie Networks,-37.708246,Feb-24,"79 Main Street, BRUTHEN VIC 3885","1 x CCS2, 1 x CHAdeMO",147.834395,1 x 50kW Fast Charger,"Recreation Reserve, Public Toilets, Dining, Accommodation, Camping",NO,Evie Networks,https://www.plugshare.com/location/548567,1
Tullamarine,Port Phillip,EON Charge,-37.68733321,31-Dec-23,"URBNSURF, 309 Melrose Drive, TULLAMARINE VIC 3045","1 x CCS2, 1 x CHAdeMO",144.8684592,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/583242,1
Yarra Glen,Port Phillip,Yarra Glenergy,-37.65561797,,"McKenzie Reserve, Melba Highway, YARRA GLEN VIC 3775","1 x CCS2, 1 x CHAdeMO",145.3729124,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/473256,1
Healesville,Port Phillip,Evie Networks,-37.65321089,31/7/2023,"80 River St Parking Lot, HEALESVILLE VIC 3777","1 x CCS2, 1 x CHAdeMO",145.5156096,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation, Gin Distillery",NO,Evie Networks,https://www.plugshare.com/location/537625,1
Dunkeld,Barwon South West,Evie Networks,-37.65057842,31/7/2023,"83 Wills Street, DUNKELD VIC 3294","1 x CCS2, 1 x CHAdeMO",142.34282891969846,1 x 50kW Fast Charger,"Park, Visitor Information Centre, Public Toilets, Dining, Museum, Accommodation",NO,,https://www.plugshare.com/location/520436,1
Ballarat Central,Grampians,,-37.56115436,,"61 Curtis St, BALLARAT CENTRAL VIC 3350",4 x CHAdeMO and 4 x CCS2/SAE,143.8627477,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/240468,4
Mallacoota,Gippsland,East Gippsland Shire Council,-37.557954,Dec-24,"Croajingalong Centre - Greer Street, MALLACOOTA VIC 3892","1 x CCS2, 1 x CHAdeMO",149.758297,1 x 50kW Fast Charger,"Park, Playground, Bushland Reserve, Coastal Reserve, Dining, Shopping, Supermarket, Accommodation, Camping, Public Toilets",YES,,,1
Invermay,Grampians,Midlands Golf and Bowls Club,-37.52782149,,"Midlands Golf and Bowls Club, Heinz Lane, INVERMAY VIC 3350",3 x Type 2,143.8574913,3 x 22kW Charger,"Park, Playground, Public Toilets, Recreation Reserve, Bushland Reserve, Shopping, Dining, Supermarket, Accommodation",NO,Midlands Golf and Bowls Club,https://www.plugshare.com/location/498278,3
Buchan,Gippsland,East Gippsland Shire Council,-37.499031,Oct-24,"Main Road, BUCHAN VIC 3885","1 x CCS2, 1 x CHAdeMO",148.172035,1 x 24kW Charger,"Park, Playground, Public Toilets, Walking Trail, Accommodation, Dining",YES,,,1
Beaufort,Grampians,Evie Networks,-37.42879917,31/7/2023,"Number One Carpark, 19 Willoby St, Beaufort VIC 3373","1 x CCS2, 1 x CHAdeMO",143.38302026368726,1 x 50kW Fast Charger,"Park, Public Toilets, Dining, Shopping, Accommodation",NO,,https://www.plugshare.com/location/532106,1
Macedon,Loddon Mallee,Evie Networks,-37.42330258,31/7/2023,"Smith Street Roadside Parking, MACEDON VIC 3440","1 x CCS2, 1 x CHAdeMO",144.56252778412747,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/535986,1
Creswick,Grampians,Chargefox Pty Ltd,-37.42232446,31/7/2023,"Creswick Information Centre, 41/43 Albert Street, CRESWICK VIC 3363","1 x CCS2, 1 x CHAdeMO",143.8943991,1 x 50kW Fast Charger,"Visitor Information Centre, Park, Playground, Public Toilets, Accommodation, Dining, Museum, Water Park",NO,Chargefox Pty Ltd,https://www.plugshare.com/location/479587,1
Wallan,Hume,Evie Networks,-37.413842,31/7/2023,"65 High Street, WALLAN VIC 3756","1 x CCS2, 1 x CHAdeMO",144.979171,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/538399,1
Trentham,Grampians,Chargefox Pty Ltd,-37.389207,31-Jul-24,"66 High Street, TRENTHAM VIC 3458",2 x CCS2,144.325248,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Recreation Reserve, Dining",NO,Chargefox,https://www.plugshare.com/location/634771,1
Hepburn Springs,Grampians,Chargefox Pty Ltd,-37.31135182,31/7/2023,"Hepburn Mineral Springs Reserve, HEPBURN SPRINGS VIC 3461","1 x CCS2, 1 x CHAdeMO",144.142692,1 x 50kW Fast Charger,"Accommodation, Natural Springs, Dining, Reserve",NO,Chargefox,https://www.plugshare.com/location/542936,1
Kilmore,Hume,Mitchell Shire Council,-37.2940459,,"Kilmore Library, 12 Sydney Street, KILMORE VIC 3764","1 x CCS2, 1 x CHAdeMO",144.9520743,1 x 25kW Charger,"Park, Playground, Public Toilets, Shopping, Dining, Accommodation, Supermarket",NO,Mitchell Shire Council,https://www.plugshare.com/location/470792,1
Ararat,Grampians,Evie Networks,-37.28189448,31-Aug-23,"15 Collings St, ARARAT VIC 3377","1 x CCS2, 1 x CHAdeMO",142.9297149,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Museum, Dining, Shopping, Accommodation, Art Gallery, Shopping, Supermarket",NO,Evie Networks,https://www.plugshare.com/location/307063,1
Lancefield,Loddon Mallee,Evie Networks,-37.27748273,31/7/2023,"4 The Crescent, LANCEFIELD VIC 3435","1 x CCS2, 1 x CHAdeMO",144.7350296801364,1 x 50kW Fast Charger,"Dining, Shopping, Accommodation, Supermarket",NO,Evie Network,https://www.plugshare.com/location/538062,1
Kyneton,Loddon Mallee,Evie Networks,-37.24900241,30-Sep-23,"6 Baynton Street, KYNETON VIC 3444",2 x CCS2,144.45216565095802,1 x 50kW Fast Charger,"Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/533767,1
Kyneton,Loddon Mallee,,-37.24694181,,"1 Hutton St, KYNETON VIC 3444",1 x CHAdeMO and 1 x CCS2/SAE,144.4526166,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/337323
",1
Broadford,Hume,,-37.203,,"113 High Street, BROADFORD VIC 3658","1 x CCS2, 1 x CHAdeMO",145.04897,1 x 25kW Charger,,NO,Mitchell Shire Council,https://www.plugshare.com/location/470791,1
Broadford,Hume,Mitchell Shire Council,-37.20273946,,"Civic Centre, 113 High Street, BROADFORD VIC 3658","1 x CCS2, 1 x CHAdeMO",145.0486251,1 x 25kW Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket",,,,1
Alexandra,Hume,Evie Networks,-37.191984,31/7/2023,8-10 Webster Street ALEXANDRA VIC 3714,"1 x CCS2, 1 x CHAdeMO",145.711134,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation",NO,,https://www.plugshare.com/location/535987,1
Castlemaine,Loddon Mallee,,-37.06671023,,"33 Forest St, CASTLEMAINE VIC 3450",1 x CHAdeMO and 1 x CCS2/SAE,144.2177884,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/334760
",1
Stawell,Grampians,Evie Networks,-37.05688991,Jan-24,"24 Sloane Street, STAWELL VIC 3380","1 x CCS2, 1 x CHAdeMO",142.7811625,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/577113,1
Mansfield,Hume,Mansfield Apartments,-37.05134578,,"Level 1, 30 Nolan Street, MANSFIELD VIC 3722",2 x Type 2,146.0896678,2 x 22kW Charger,"Park, Playground, Public Toilets, Visitor Information Centre, Botanic Gardens, Dining, Shopping, Recreation Reserve, Accommodation, Supermarket",NO,Mansfield Apartments,https://www.plugshare.com/location/426671,2
Maryborough,Loddon Mallee,,-37.05131349,,"Maryborough Railway Station, Station St, MARYBOROUGH VIC 3465",1 x CHAdeMO and 1 x CCS2/SAE,143.7421139,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/303802,1
Mansfield,Hume,Evie Networks,-37.050841,Feb-24,"Early Street Carpark, MANSFIELD VIC 3722","1 x CCS2, 1 x CHAdeMO",146.086749,1 x 50kW Fast Charger,"Park, Playground, Recreation Reserve, Dining, Shopping, Botanic Gardens, Accommodation, Supermarket",NO,,https://www.plugshare.com/location/544018,1
Edenhope,Grampians,Evie Networks,-37.03671332,,"12 Anzac Avenue, EDENHOPE VIC 3318","1 x CCS2, 1 x CHAdeMO",141.2965493,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Nature Conservation Reserve, Shopping, Dining, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/473849,1
Harcourt,Loddon Mallee,,-36.99865467,,"7 High St, HARCOURT VIC 3453",1 x CHAdeMO and 1 x CCS2/SAE,144.2607886,1 x 25kW Charger,,NO,Evie Networks,https://www.plugshare.com/location/316307,1
Heathcote,Loddon Mallee,Evie Networks,-36.92407151,31-Oct-23,"126 High Street, HEATHCOTE VIC 3523","1 x CCS2, 1 x CHAdeMO",144.7104973,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/560709,1
Tabilk,Hume,Tahbilk Winery,-36.827175,,"142 Mulberry Drive, TABILK VIC 3608",2 x Type 2,145.086375,2 x 22kW Charger,Winery,NO,Tahbilk Winery,https://www.plugshare.com/location/456154,2
Nagambie,Hume,Evie Networks,-36.78407156,31/7/2023,"332 High Street, NAGAMBIE VIC 3608","1 x CCS2, 1 x CHAdeMO",145.1543642,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Brewery, Dining, Shopping, Lake, Waterfront Lookout, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/516377,1
Bendigo,Loddon Mallee,Evie Networks,-36.7635,Feb-24,"Target Carpark - 29 Edward Street, BENDIGO VIC 3550",2 x CCS2,144.27932,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Public Toilets, Lookout, Art Gallery, Museum, Conservatory Gardens, Shopping, Aquatic Centre, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/602381,1
Euroa,Hume,,-36.7426939,,"167 Tarcombe St, EUROA, VIC, 3666",4 x CHAdeMO and 4 x CCS2/SAE,145.5914841,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/168166,4
Newbridge,Loddon Mallee,,-36.74027311,,"Corner Burke St & Wimmera Hwy, NEWBRIDGE VIC 3551",1 x CHAdeMO and 1 x CCS2/SAE,143.9001971,1 x 25kW Charger,,NO,Evie Networks,https://www.plugshare.com/location/317582,1
Bright,Hume,Evie Networks,-36.72911524,31/7/2023,"24 Wills Street, BRIGHT VIC 3741","1 x CCS2, 1 x CHAdeMO",146.9622109722952,1 x 50kW Fast Charger,"Park, Playground, Dining, Shopping, Accommodation, Supermarket, Public Toilets",NO,,https://www.plugshare.com/location/512324,1
Horsham,Grampians,,-36.71153251,,"126 Baillie St, HORSHAM VIC 3400",4 x CHAdeMO and 4 x CCS2/SAE,142.2019449,"2 x 350kW Ultra Rapid Chargers,  4x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/208513,4
St Arnaud,Grampians,Evie Networks,-36.61459,Feb-24," 9 Walker Street, ST ARNAUD VIC 3477","1 x CCS2, 1 x CHAdeMO",143.25763,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Public Swimming Pool, Museum, Dining, Shopping, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/619698,1
Inglewood,Loddon Mallee,,-36.5754726,,"Storm Lane, INGLEWOOD VIC 3517",1 x CHAdeMO and 1 x CCS2/SAE,143.8675533,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/308988,1
Benalla,Hume,Evie Networks,-36.55063729,15-Oct-23,"Denny Street Car Park, Denny Street, BENALLA VIC 3672","1 x CCS2, 1 x CHAdeMO",145.98409324081558,1 x 50kW Fast Charger,"Visitor Information Centre, Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Aquatic Centre, Art Gallery, Museum",NO,Evie Networks,https://www.plugshare.com/location/513086,1
Tatura,Hume,Tatura Carwash,-36.44025958,,"104 Hogan Street, TATURA VIC 3614","1 x CCS2, 1 x CHAdeMO",145.2260611,1 x 25kW Charger,"Park, Playground, Public Toilets, Accommodation, Dining, Shopping, Museum",NO,Tatura Carwash,https://www.plugshare.com/location/428162,1
Wedderburn,Loddon Mallee,,-36.41861417,,"Jacka Park/Chapel St, WEDDERBURN VIC 3518",1 x CHAdeMO and 1 x CCS2/SAE,143.6131774,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/342215
",1
Mooroopna,Hume,,-36.3948694,,"77 Mclennan St, MOOROOPNA VIC 3629",1 x CHAdeMO and 1 x CCS2/SAE,145.3599159,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/342214
",1
Shepparton,Hume,,-36.38037879,,"8 Fraser St, SHEPPARTON VIC 3630",1 x CHAdeMO and 1 x CCS2/SAE,145.4002553,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/342216
",1
Kaniva,Grampians,Evie Networks,-36.3778351,,"13 Madden Street N, KANIVA VIC 3419","1 x CCS2, 1 x CHAdeMO",141.2383918,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Accommodation, Recreation Reserve, Wetlands and Fauna Park",NO,Evie Networks,https://www.plugshare.com/location/472390,1
Beechworth,Hume,Evie Networks,-36.3581827,31-Aug-23,"Loch Street Car Park, 26 Loch Street, BEECHWORTH VIC 3747","1 x CCS2, 1 x CHAdeMO",146.6870236060146,1 x 50kW Fast Charger,"Park, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Visitor Information Centre, Museum",NO,Evie Networks,https://www.plugshare.com/location/557864,1
Wangaratta,Hume,Evie Networks,-36.35499491,,"2-6 Docker Street, WANGARATTA VIC 3677",2 x CCS2,146.3224424,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Art Gallery, Museum, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/473744,1
Yackandandah,Hume,Totally Renewable Yackandandah,-36.31379577,,"16A Windham Street, YACKANDANDAH VIC 3739","1 x CCS2, 1 x CHAdeMO",146.838712,1 x 50kW Fast Charger,"Visitor Information Centre, Park, Playground, Public Toilets, Dining, Supermarket, Accommodation",NO,Totally Renewable Yackandandah,https://www.plugshare.com/location/454995,1
Warracknabeal,Grampians,Evie Networks,-36.25068331,31/7/2023,"18 Woolcock Street, WARRACKNABEAL VIC 3393","1 x CCS2, 1 x CHAdeMO",142.3939407,1 x 50kW Fast Charger,"Dining, Shopping, Leisure Centre, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/532136,1
Corryong,Hume,Evie Networks,-36.19561488,30-Nov-23,"19 Hanson Street, CORRYONG VIC 3707","1 x CCS2, 1 x CHAdeMO",147.90632646002533,1 x 50kW Fast Charger,"Park, Playground, Dining, Shopping, Museum, Recreation Reserve, Lookout, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/516364,1
Chiltern,Hume,Evie Networks,-36.149332,Apr-24,"3 Crawford St, Chiltern VIC 3683","1 x CCS2, 1 x CHAdeMO",146.610632,1 x 50kW Fast Charger,"Public Toilets, Library, Cafes, Accommodation, Swimming Pool, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/619704,
Echuca,Loddon Mallee,,-36.12731021,,"438 High St, ECHUCA VIC 3564",2 x CHAdeMO and 2 x CCS2/SAE,144.7481576,"1 x 75kW Fast Charger, 1 x 25kW Charger",,NO,Evie Networks,https://www.plugshare.com/location/316668,2
Wodonga,Hume,Evie Networks,-36.12168259,30-Nov-23,"Acacia Car Park Public Toilet, Lot 2 High Street, WODONGA VIC 3690",2 x CCS2,146.8866312373146,1 x 50kW Fast Charger,"Parking, Park, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/574382,1
Wycheproof,Loddon Mallee,,-36.07897673,,"Fairview St, WYCHEPROOF VIC 3527",1 x CHAdeMO and 1 x CCS2/SAE,143.2265431,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/337326
",1
Barnawartha North,Hume,,-36.06928001,,"1778 Murray Valley Hwy, BARNAWARTHA NORTH VIC 3691",4 x CHAdeMO and 4 x CCS2/SAE,146.7260168,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/185988,4
Yarrawonga,Hume,Evie Networks,-36.01003228,31/7/2023,"12 Hovell Street, YARRAWONGA VIC 3730","1 x CCS2, 1 x CHAdeMO",146.0032361,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/519068,1
Cobram,Hume,Moira Shire Council,-35.92029708,21/1/2023,"Federation Park, Punt Road, COBRAM VIC 3644","1 x CCS2, 1 x CHAdeMO",145.6443486,1 x 50kW Fast Charger,"Park, Playground, Recreation Reserve, Public Toilets, Supermarket, Shopping, Accommodation",NO,,,1
Cohuna,Loddon Mallee,,-35.80844516,,"Gateway Visitor Centre King George St, COHUNA VIC 3568",1 x CHAdeMO and 1 x CCS2/SAE,144.2213715,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/323306,1
Kerang,Loddon Mallee,,-35.73437546,,"Albert St (Car Park), KERANG VIC 3579",1 x CHAdeMO and 1 x CCS2/SAE,143.9215653,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/310767,1
Hopetoun,Grampians,Evie Networks,-35.726807,30-Nov-23,"67 Lascelles St, HOPETOUN VIC 3396","1 x CCS2, 1 x CHAdeMO",142.364256,1 x 50kW Fast Charger,"Supermarket, Public Toilet, Cafes",NO,Evie Networks,https://www.plugshare.com/location/575525,
Sea Lake,Loddon Mallee,,-35.50401204,,"115 Best St, SEA LAKE VIC 3533",1 x CHAdeMO and 1 x CCS2/SAE,142.8517274,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/337329
",1
Swan Hill,Loddon Mallee,,-35.34039826,,"135 Curlewis St, SWAN HILL VIC 3585",1 x CHAdeMO and 1 x CCS2/SAE,143.5615895,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/338502
",1
Murrayville,Loddon Mallee,,-35.263623,,"3-7 Reed St, Murrayville VIC 3512",1 x CHAdeMO and 1 x CCS2/SAE,141.183094,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/577114,
Ouyen,Loddon Mallee,,-35.07104051,,"11 Oke St, OUYEN VIC 3490",1 x CHAdeMO and 1 x CCS2/SAE,142.3153072,1 x 50kW Fast Charger,,NO,Evie Networks,"https://www.plugshare.com/location/337330
",1
Robinvale,Loddon Mallee,,-34.58452561,,"42 George St, ROBINVALE VIC 3549",1 x CHAdeMO and 1 x CCS2/SAE,142.7747796,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/338433,1
Mildura,Loddon Mallee,Evie Networks,-34.18359286,31/7/2023,"60-76 Pine Avenue, MILDURA VIC 3500",2 x CCS2,142.1584515,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/473475,1
Rutherglen,Hume,Evie Networks,-36.054549,Mar-24,"113 Murray St, RUTHERGLEN VIC 3685","1 x CCS2, 1 x CHAdeMO",146.458643,1 x 50kW Fast Charger,"Public Toilets, Recreation Reserve, Parklands, Swimming Pool, Cafes, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/619703,